"","Bacteria","Phage","Status"
"1","T3_2","P2T3_C-F-_2",1
"2","T3_4","P2T3_C-F-_2",1
"3","T3_6","P2T3_C-F-_2",1
"4","T3_7","P2T3_C-F-_2",1
"5","T3_8","P2T3_C-F-_2",1
"6","T3_10","P2T3_C-F-_2",1
"7","T3_11","P2T3_C-F-_2",1
"8","T3_12","P2T3_C-F-_2",1
"9","T3_13","P2T3_C-F-_2",1
"10","T3_9","P2T3_C-F-_2",1
"11","T3_3","P2T3_C-F-_2",0
"12","T3_5","P2T3_C-F-_2",0
"13","T3_1","P2T3_C-F-_2",0
"14","T9_7","P2T3_C-F-_2",0
"15","T9_3","P2T3_C-F-_2",0
"16","T6_1","P2T3_C-F-_2",0
"17","T6_2","P2T3_C-F-_2",0
"18","T6_5","P2T3_C-F-_2",0
"19","T6_6","P2T3_C-F-_2",0
"20","T6_8","P2T3_C-F-_2",0
"21","T6_10","P2T3_C-F-_2",0
"22","T6_12","P2T3_C-F-_2",0
"23","T9_9","P2T3_C-F-_2",0
"24","T6_3","P2T3_C-F-_2",0
"25","T6_4","P2T3_C-F-_2",0
"26","T6_7","P2T3_C-F-_2",0
"27","T6_9","P2T3_C-F-_2",0
"28","T6_11","P2T3_C-F-_2",0
"29","T6_13","P2T3_C-F-_2",0
"30","T9_1","P2T3_C-F-_2",0
"31","T9_2","P2T3_C-F-_2",0
"32","T9_4","P2T3_C-F-_2",0
"33","T9_5","P2T3_C-F-_2",0
"34","T9_6","P2T3_C-F-_2",0
"35","T9_8","P2T3_C-F-_2",0
"36","T9_10","P2T3_C-F-_2",0
"37","T9_11","P2T3_C-F-_2",0
"38","T9_12","P2T3_C-F-_2",0
"39","T9_13","P2T3_C-F-_2",0
"40","T12_9","P2T3_C-F-_2",0
"41","T12_10","P2T3_C-F-_2",0
"42","T12_2","P2T3_C-F-_2",0
"43","T12_3","P2T3_C-F-_2",0
"44","T12_5","P2T3_C-F-_2",0
"45","T12_6","P2T3_C-F-_2",0
"46","T12_7","P2T3_C-F-_2",0
"47","T12_8","P2T3_C-F-_2",0
"48","T12_12","P2T3_C-F-_2",0
"49","T12_13","P2T3_C-F-_2",0
"50","T12_4","P2T3_C-F-_2",0
"51","T12_1","P2T3_C-F-_2",0
"52","T15_18","P2T3_C-F-_2",0
"53","T15_9","P2T3_C-F-_2",0
"54","T15_13","P2T3_C-F-_2",0
"55","T15_21","P2T3_C-F-_2",0
"56","T15_8","P2T3_C-F-_2",0
"57","T15_20","P2T3_C-F-_2",0
"58","T15_5","P2T3_C-F-_2",0
"59","T15_16","P2T3_C-F-_2",0
"60","T15_4","P2T3_C-F-_2",0
"61","T15_12","P2T3_C-F-_2",0
"62","T15_22","P2T3_C-F-_2",0
"63","T15_25","P2T3_C-F-_2",0
"64","T21_5","P2T3_C-F-_2",0
"65","T15_1","P2T3_C-F-_2",0
"66","T15_2","P2T3_C-F-_2",0
"67","T15_10","P2T3_C-F-_2",0
"68","T15_11","P2T3_C-F-_2",0
"69","T15_19","P2T3_C-F-_2",0
"70","T15_23","P2T3_C-F-_2",0
"71","T15_24","P2T3_C-F-_2",0
"72","T15_6","P2T3_C-F-_2",0
"73","T21_2","P2T3_C-F-_2",0
"74","T15_15","P2T3_C-F-_2",0
"75","T15_3","P2T3_C-F-_2",0
"76","T15_14","P2T3_C-F-_2",0
"77","T18_9","P2T3_C-F-_2",0
"78","T18_17","P2T3_C-F-_2",0
"79","T18_19","P2T3_C-F-_2",0
"80","T18_25","P2T3_C-F-_2",0
"81","T18_21","P2T3_C-F-_2",0
"82","T18_22","P2T3_C-F-_2",0
"83","T15_7","P2T3_C-F-_2",0
"84","T18_2","P2T3_C-F-_2",0
"85","T18_3","P2T3_C-F-_2",0
"86","T18_4","P2T3_C-F-_2",0
"87","T18_6","P2T3_C-F-_2",0
"88","T18_7","P2T3_C-F-_2",0
"89","T18_15","P2T3_C-F-_2",0
"90","T18_1","P2T3_C-F-_2",0
"91","T18_24","P2T3_C-F-_2",0
"92","T18_11","P2T3_C-F-_2",0
"93","T18_12","P2T3_C-F-_2",0
"94","T18_16","P2T3_C-F-_2",0
"95","T18_18","P2T3_C-F-_2",0
"96","T18_8","P2T3_C-F-_2",0
"97","T18_13","P2T3_C-F-_2",0
"98","T18_23","P2T3_C-F-_2",0
"99","T18_10","P2T3_C-F-_2",0
"100","T18_20","P2T3_C-F-_2",0
"101","T18_26","P2T3_C-F-_2",0
"102","T18_14","P2T3_C-F-_2",0
"103","T12_11","P2T3_C-F-_2",0
"104","T15_17","P2T3_C-F-_2",0
