Bacteria,Color
T03_1,1
T03_2,1
T03_3,1
T03_4,1
T03_5,1
T03_6,1
T03_7,1
T03_8,1
T03_9,1
T03_10,1
T03_11,1
T03_12,1
T03_13,1
T06_1,2
T06_2,2
T06_3,2
T06_4,2
T06_5,2
T06_6,2
T06_7,2
T06_8,2
T06_9,2
T06_10,2
T06_11,2
T06_12,2
T06_13,2
T09_1,3
T09_2,3
T09_3,3
T09_4,3
T09_5,3
T09_6,3
T09_7,3
T09_8,3
T09_9,3
T09_10,3
T09_11,3
T09_12,3
T09_13,3
T12_1,4
T12_2,4
T12_3,4
T12_4,4
T12_5,4
T12_6,4
T12_7,4
T12_8,4
T12_9,4
T12_10,4
T12_11,4
T12_12,4
T12_13,4
T15_1,5
T15_2,5
T15_3,5
T15_4,5
T15_5,5
T15_6,5
T15_7,5
T15_8,5
T15_9,5
T15_10,5
T15_11,5
T15_12,5
T15_13,5
T15_14,5
T15_15,5
T15_16,5
T15_17,5
T15_18,5
T15_19,5
T15_20,5
T15_21,5
T15_22,5
T15_23,5
T15_24,5
T15_25,5
T18_1,6
T18_2,6
T18_3,6
T18_4,6
T18_5,6
T18_6,6
T18_7,6
T18_8,6
T18_9,6
T18_10,6
T18_11,6
T18_12,6
T18_13,6
T18_14,6
T18_15,6
T18_16,6
T18_17,6
T18_18,6
T18_19,6
T18_20,6
T18_21,6
T18_22,6
T18_23,6
T18_24,6
T18_25,6
T18_26,6
T21_1,7
T21_2,7
T21_3,7
T21_4,7
T21_5,7
T21_6,7
T21_7,7
T21_8,7
T21_9,7
T21_10,7
T21_11,7
T21_12,7
T21_13,7
T21_14,7
T21_15,7
T21_16,7
T21_17,7
T21_18,7
T21_19,7
T21_20,7
T21_21,7
T21_22,7
T21_23,7
T21_24,7
T21_25,7
