Date,Timepoint,Phage,Bacteria,Type,Population,Rep,Plated_Host,Receptor,PFU,Dilution,Titer,Notes
20220405,0,Phi21,WT,Repeat,1,1,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,2,2,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,3,3,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,4,4,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,5,5,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,6,6,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,7,7,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,8,8,WT,All,13,6,6.50E+03,
20220405,0,Phi21,WT,Repeat,9,9,WT,All,13,6,6.50E+03,
20220405,21.5,Phi21-P2-T21,WT,Continue,2,1,WT,All,15,3,7.50E+06,
20220405,21.5,Phi21-P2-T21,WT,Continue,2,2,WT,All,9,3,4.50E+06,
20220405,21.5,Phi21-P2-T21,WT,Continue,2,3,WT,All,5,3,2.50E+06,
20220405,0,Phi21,WT,Repeat,1,1,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,2,2,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,3,3,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,4,4,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,5,5,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,6,6,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,7,7,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,8,8,C-F-,LamB,35,5,1.75E+03,
20220405,0,Phi21,WT,Repeat,9,9,C-F-,LamB,35,5,1.75E+03,
20220405,21.5,Phi21-P2-T21,WT,Continue,2,1,C-F-,LamB,6,0,3.00E+03,
20220405,21.5,Phi21-P2-T21,WT,Continue,2,2,C-F-,LamB,4,0,2.00E+03,
