phageID,module
P2T3_C-F-_2,1
P2T3_C-F-_1,1
P2T3_WT_3,1
P2T3_C-F-_3,1
P2T3_WT_1,1
P2T3_WT_2,1
P2T3_L-F-_1,1
P2T3_L-F-_3,1
P2T6_C-F-_1,1
P2T9_WT_1,1
P2T3_L-F-_2,1
P2T6_C-F-_2,1
P2T6_C-F-_3,1
P2T6_L-F-_1,1
P2T6_L-F-_2,1
P2T6_L-F-_3,1
P2T9_C-F-_1,1
P2T9_L-F-_2,1
P2T6_WT_3,1
P2T6_WT_2,1
P2T9_WT_2,1
P2T6_WT_1,1
P2T9_WT_3,1
P2T9_C-F-_3,1
P2T9_L-F-_1,1
P2T9_L-F-_3,1
P2T9_L-C-_1,1
P2T9_L-C-_3,1
P2T12_WT_2,1
P2T15_WT_2,1
P2T9_C-F-_2,1
P2T12_C-F-_1,1
P2T12_WT_3,1
P2T12_L-F-_2,1
P2T15_L-F-_2,1
P2T15_L-F-_3,1
P2T12_L-C-_1,1
P2T12_L-C-_2,1
P2T12_L-F-_3,1
P2T9_L-C-_2,1
P2T12_L-C-_3,1
P2T15_L-C-_2,2
P2T15_L-C-_3,2
P2T12_WT_1,2
P2T12_C-F-_2,2
P2T15_L-F-_1,2
P2T15_L-C-_1,2
P2T15_WT_3,2
P2T12_L-F-_1,2
P2T15_WT_1,2
P2T15_C-F-_1,2
P2T15_C-F-_2,2
P2T18_L-C-_3,2
P2T18_L-C-_1,2
P2T18_L-C-_2,2
P2T18_WT_3,2
P2T18_C-F-_1,2
P2T18_C-F-_2,2
P2T18_C-F-_3,2
P2T15_C-F-_3,2
P2T18_WT_1,2
P2T18_WT_2,2
P2T21_L-C-_1,3
P2T21_L-C-_3,3
P2T21_WT_3,3
P2T21_WT_2,3
P2T21_L-C-_2,3
P2T21_WT_1,3
P2T21_L-F-_1,3
P2T21_L-F-_2,3
P2T21_L-F-_3,3
P2T21_C-F-_1,3
P2T21_C-F-_2,3
P2T21_C-F-_3,3
