Date,Population,Timepoint,Isolate,Iso Host,Iso Receptor,ID,HR Host,HR Receptor,PFU,Dilution,Titer,Method,Notes
20220224,2,12,1,WT,All,P2T12_WT_1,WT,All,8,4,8.00E+07,PinTool,
20220224,2,12,2,WT,All,P2T12_WT_2,WT,All,9,2,9.00E+05,PinTool,
20220224,2,12,3,WT,All,P2T12_WT_3,WT,All,7,3,7.00E+06,PinTool,
20220224,2,12,1,C-F-,LamB,P2T12_C-F-_1,WT,All,13,1,1.30E+05,PinTool,
20220224,2,12,2,C-F-,LamB,P2T12_C-F-_2,WT,All,4,4,4.00E+07,PinTool,
20220224,2,12,3,C-F-,LamB,P2T12_C-F-_3,WT,All,5,1,5.00E+04,PinTool,
20220224,2,12,1,L-F-,OmpC,P2T12_L-F-_1,WT,All,12,5,1.20E+09,PinTool,
20220224,2,12,2,L-F-,OmpC,P2T12_L-F-_2,WT,All,3,5,3.00E+08,PinTool,
20220224,2,12,3,L-F-,OmpC,P2T12_L-F-_3,WT,All,17,3,1.70E+07,PinTool,
20220224,2,12,1,L-C-,OmpF,P2T12_L-C-_1,WT,All,3,5,3.00E+08,PinTool,
20220224,2,12,2,L-C-,OmpF,P2T12_L-C-_2,WT,All,10,5,1.00E+09,PinTool,
20220224,2,12,3,L-C-,OmpF,P2T12_L-C-_3,WT,All,5,6,5.00E+09,PinTool,
20220224,2,15,1,WT,All,P2T15_WT_1,WT,All,6,5,6.00E+08,PinTool,
20220224,2,15,2,WT,All,P2T15_WT_2,WT,All,4,3,4.00E+06,PinTool,
20220224,2,15,3,WT,All,P2T15_WT_3,WT,All,4,4,4.00E+07,PinTool,
20220224,2,15,1,C-F-,LamB,P2T15_C-F-_1,WT,All,21,4,2.10E+08,PinTool,
20220224,2,15,2,C-F-,LamB,P2T15_C-F-_2,WT,All,8,4,8.00E+07,PinTool,
20220224,2,15,3,C-F-,LamB,P2T15_C-F-_3,WT,All,4,5,4.00E+08,PinTool,
20220224,2,15,1,L-F-,OmpC,P2T15_L-F-_1,WT,All,4,6,4.00E+09,PinTool,
20220224,2,15,2,L-F-,OmpC,P2T15_L-F-_2,WT,All,4,5,4.00E+08,PinTool,
