ID,ReceptorUse
Phi21_Anc,L
P2T3_WT_1,L
P2T3_WT_2,LC
P2T3_WT_3,L
P2T3_C-F-_1,L
P2T3_C-F-_2,L
P2T3_C-F-_3,L
P2T3_L-F-_1,LC
P2T3_L-F-_2,LC
P2T3_L-F-_3,LC
P2T6_WT_1,LC
P2T6_WT_2,LC
P2T6_WT_3,LC
P2T6_C-F-_1,L
P2T6_C-F-_2,LC
P2T6_C-F-_3,LC
P2T6_L-F-_1,LC
P2T6_L-F-_2,LC
P2T6_L-F-_3,LC
P2T9_WT_1,LC
P2T9_WT_2,LC
P2T9_WT_3,LCF
P2T9_C-F-_1,LC
P2T9_C-F-_2,LCF
P2T9_C-F-_3,LCF
P2T9_L-F-_1,LCF
P2T9_L-F-_2,LC
P2T9_L-F-_3,LCF
P2T9_L-C-_1,LCF
P2T9_L-C-_2,LCF
P2T9_L-C-_3,LCF
P2T12_WT_1,LCF
P2T12_WT_2,LCF
P2T12_WT_3,LCF
P2T12_C-F-_1,NA
P2T12_C-F-_2,LCF
P2T12_C-F-_3,NA
P2T12_L-F-_1,LCF
P2T12_L-F-_2,LCF
P2T12_L-F-_3,LCF
P2T12_L-C-_1,LCF
P2T12_L-C-_2,LCF
P2T12_L-C-_3,LCF
P2T15_WT_1,LF
P2T15_WT_2,LCF
P2T15_WT_3,LCF
P2T15_C-F-_1,LF
P2T15_C-F-_2,LF
P2T15_C-F-_3,LF
P2T15_L-F-_1,LCF
P2T15_L-F-_2,LCF
P2T15_L-F-_3,LCF
P2T15_L-C-_1,LCF
P2T15_L-C-_2,LCF
P2T15_L-C-_3,LCF
P2T18_WT_1,LF
P2T18_WT_2,LF
P2T18_WT_3,LF
P2T18_C-F-_1,LF
P2T18_C-F-_2,LF
P2T18_C-F-_3,LF
P2T18_L-C-_1,LF
P2T18_L-C-_2,LF
P2T18_L-C-_3,LF
P2T21_WT_1,LF
P2T21_WT_2,CF
P2T21_WT_3,CF
P2T21_C-F-_1,LF
P2T21_C-F-_2,LF
P2T21_C-F-_3,LF
P2T21_L-F-_1,CF
P2T21_L-F-_2,CF
P2T21_L-F-_3,CF
P2T21_L-C-_1,LF
P2T21_L-C-_2,LF
P2T21_L-C-_3,LF
P2T24_WT_1,LF
P2T24_WT_2,F
P2T24_WT_3,F
P2T24_C-F-_1,LF
P2T24_C-F-_2,LF
P2T24_C-F-_3,LF
P2T24_L-C-_1,F
P2T24_L-C-_2,F
P2T24_L-C-_3,F
P2T27_WT_1,LF
P2T27_WT_2,F
P2T27_WT_3,F
P2T27_C-F-_1,LF
P2T27_C-F-_2,LF
P2T27_C-F-_3,LF
P2T27_L-C-_2,F
P2T27_L-C-_3,F
P2T30_WT_1,F
P2T30_WT_2,F
P2T30_WT_3,F
P2T30_L-C-_1,F
P2T30_L-C-_2,F
P2T30_L-C-_3,F
P2T33_WT_1,F
P2T33_WT_2,F
P2T33_WT_3,F
P2T33_L-C-_1,F
P2T33_L-C-_2,F
P2T33_L-C-_3,F
