"","Timepoint","Phage","Bacteria","Status"
"1",3,"P2T3_WT_1","T3_1",0
"2",3,"P2T3_WT_2","T3_1",1
"3",3,"P2T3_WT_3","T3_1",0
"4",3,"P2T3_C-F-_1","T3_1",0
"5",3,"P2T3_C-F-_2","T3_1",0
"6",3,"P2T3_C-F-_3","T3_1",1
"7",3,"P2T3_L-F-_1","T3_1",1
"8",3,"P2T3_L-F-_2","T3_1",1
"9",3,"P2T3_L-F-_3","T3_1",1
"10",6,"P2T6_WT_1","T3_1",1
"11",6,"P2T6_WT_2","T3_1",1
"12",6,"P2T6_WT_3","T3_1",1
"13",6,"P2T6_C-F-_1","T3_1",1
"14",6,"P2T6_C-F-_2","T3_1",1
"15",6,"P2T6_C-F-_3","T3_1",1
"16",6,"P2T6_L-F-_1","T3_1",1
"17",6,"P2T6_L-F-_2","T3_1",1
"18",6,"P2T6_L-F-_3","T3_1",1
"19",9,"P2T9_WT_1","T3_1",1
"20",9,"P2T9_WT_2","T3_1",1
"21",9,"P2T9_WT_3","T3_1",1
"22",9,"P2T9_C-F-_1","T3_1",1
"23",9,"P2T9_C-F-_2","T3_1",1
"24",9,"P2T9_C-F-_3","T3_1",1
"25",9,"P2T9_L-F-_1","T3_1",1
"26",9,"P2T9_L-F-_2","T3_1",1
"27",9,"P2T9_L-F-_3","T3_1",1
"28",9,"P2T9_L-C-_1","T3_1",1
"29",9,"P2T9_L-C-_2","T3_1",1
"30",9,"P2T9_L-C-_3","T3_1",1
"31",12,"P2T12_WT_1","T3_1",1
"32",12,"P2T12_WT_2","T3_1",1
"33",12,"P2T12_WT_3","T3_1",1
"34",12,"P2T12_C-F-_1","T3_1",1
"35",12,"P2T12_C-F-_2","T3_1",1
"36",12,"P2T12_L-F-_1","T3_1",1
"37",12,"P2T12_L-F-_2","T3_1",1
"38",12,"P2T12_L-F-_3","T3_1",1
"39",12,"P2T12_L-C-_1","T3_1",1
"40",12,"P2T12_L-C-_2","T3_1",1
"41",12,"P2T12_L-C-_3","T3_1",1
"42",15,"P2T15_WT_1","T3_1",1
"43",15,"P2T15_WT_2","T3_1",1
"44",15,"P2T15_WT_3","T3_1",1
"45",15,"P2T15_C-F-_1","T3_1",1
"46",15,"P2T15_C-F-_2","T3_1",1
"47",15,"P2T15_C-F-_3","T3_1",1
"48",15,"P2T15_L-F-_1","T3_1",1
"49",15,"P2T15_L-F-_2","T3_1",1
"50",15,"P2T15_L-F-_3","T3_1",1
"51",15,"P2T15_L-C-_1","T3_1",1
"52",15,"P2T15_L-C-_2","T3_1",1
"53",15,"P2T15_L-C-_3","T3_1",1
"54",18,"P2T18_WT_1","T3_1",1
"55",18,"P2T18_WT_2","T3_1",1
"56",18,"P2T18_WT_3","T3_1",1
"57",18,"P2T18_C-F-_1","T3_1",1
"58",18,"P2T18_C-F-_2","T3_1",1
"59",18,"P2T18_C-F-_3","T3_1",1
"60",18,"P2T18_L-C-_1","T3_1",1
"61",18,"P2T18_L-C-_2","T3_1",1
"62",18,"P2T18_L-C-_3","T3_1",1
"63",21,"P2T21_WT_1","T3_1",1
"64",21,"P2T21_WT_2","T3_1",1
"65",21,"P2T21_WT_3","T3_1",1
"66",21,"P2T21_C-F-_1","T3_1",1
"67",21,"P2T21_C-F-_2","T3_1",1
"68",21,"P2T21_C-F-_3","T3_1",1
"69",21,"P2T21_L-F-_1","T3_1",1
"70",21,"P2T21_L-F-_2","T3_1",1
"71",21,"P2T21_L-F-_3","T3_1",1
"72",21,"P2T21_L-C-_1","T3_1",1
"73",21,"P2T21_L-C-_2","T3_1",1
"74",21,"P2T21_L-C-_3","T3_1",1
"75",3,"P2T3_WT_1","T3_2",1
"76",3,"P2T3_WT_2","T3_2",1
"77",3,"P2T3_WT_3","T3_2",1
"78",3,"P2T3_C-F-_1","T3_2",1
"79",3,"P2T3_C-F-_2","T3_2",1
